"","Location",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","FU","Chao1","Female","Male",25,22,269,0.907,1,"ns",314.24192,1,2
"2","SH","Chao1","Female","Male",10,8,1,0.00062,0.00124,"**",177.15392,1,2
