"","Origin",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Experiment_1","mvd.distances","Female","Male",11,10,56,0.973,1,"ns",0.6016,1,2
"2","Experiment_2","mvd.distances","Female","Male",14,12,76,0.705,1,"ns",0.6026,1,2
