"","Compartment",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","x","xmin","xmax"
"1","Duodenum","PD","Infected","Non_infected",9,2,13,0.436,1,"ns",1030.36656,1,0.8,1.2
"2","Jejunum","PD","Infected","Non_infected",9,3,0,0.00909,0.04545,"*",1184.46756,2,1.8,2.2
"3","Ileum","PD","Infected","Non_infected",8,3,12,1,1,"ns",1378.22956,3,2.8,3.2
"4","Cecum","PD","Infected","Non_infected",10,4,12,0.304,1,"ns",2028.47356,4,3.8,4.2
"5","Colon","PD","Infected","Non_infected",10,4,13,0.374,1,"ns",1960.51256,5,4.8,5.2
