"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Chao1","Infected","Non_infected",8,3,0,0.012,0.036,"*",357.54972,1,2
"2","Chao1","Infected","Worm",8,42,323,4.33e-05,0.0001299,"***",369.8628,1,3
"3","Chao1","Non_infected","Worm",3,42,126,0.004,0.012,"*",382.17588,2,3
