"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Bacteria_name","Genus","Species","AbundLev"
"ASV7",71061.9455381255,2.38232786631094,1.5682159221819,1.51913255860605,0.12872913281564,0.314187357664246,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia sp.","Romboutsia",NA,"NS"
"ASV544",2.8265855827675,6.60605802753788,3.94209095721618,1.67577514046072,0.093782245239186,0.27536063495761,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter sp.","Terrisporobacter",NA,"NS"
"ASV23",7853.34615032018,0.155313061383284,2.99117779801856,0.0519237142928005,0.958589478487094,0.983534186105717,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus amylovorus","Lactobacillus","amylovorus","NS"
"ASV259",24.0671083437579,-22.5187719183246,3.9868753541251,-5.64822572018087,1.62112237357517e-08,9.32145364805722e-08,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"Low"
"ASV134",3.76869468215612,24.804730341523,3.94194034167211,6.29251794587057,3.1235720262896e-10,2.33001588988089e-09,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group sp.","Prevotellaceae NK3B31 group",NA,"High"
"ASV6",21720.2787177508,0.375059598142247,1.44125877237935,0.260230574363178,0.794685921534685,0.850129125362686,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus sp.","Streptococcus",NA,"NS"
"ASV84",173.17394986093,-25.1228542049672,3.9866058266646,-6.30181545336933,2.94179315952528e-10,2.25537475563605e-09,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter sp.","Agathobacter",NA,"Low"
"ASV116",94.1643486211655,-24.3715776948496,3.98664238439086,-6.11330923241902,9.75860104683319e-10,6.41279497363324e-09,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella sp.","Alloprevotella",NA,"Low"
"ASV748",1.00319434601619,5.11007327013457,3.9482833878607,1.29425189839359,0.195578425562261,0.35428996376376,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV1078",1.02887434082054,5.14572060673909,3.94804973419921,1.30335759505897,0.192452706488997,0.35428996376376,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV194",0.608227124187344,-1.57255779120636,3.99258407881527,-0.393869674417224,0.693677260667182,0.787880345449145,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"NS"
"ASV88",401.071914642329,3.85367102773701,2.95359711208373,1.30473821631627,0.191982003595258,0.35428996376376,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Blautia sp.","Blautia",NA,"NS"
"ASV250",240.504907845181,5.66825424446621,3.70934432068489,1.52810139863738,0.12648736428105,0.311701004835445,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
"ASV1140",5.5238964076616,7.57389286432461,3.94042396715439,1.92210100422117,0.0545930497497694,0.198258970143899,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera sp.","Megasphaera",NA,"NS"
"ASV86",185.83846431149,0.372791519634985,3.34157154079865,0.111561735274381,0.911170913388601,0.948993102246241,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter sp.","Agathobacter",NA,"NS"
"ASV173",3.90637473832632,7.07266551323875,3.94114865214154,1.79456958808077,0.0727223021730294,0.236133592938307,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","Oscillospira sp.","Oscillospira",NA,"NS"
"ASV64",237.557885023497,7.73789737893936,3.92951118215266,1.9691755590578,0.0489329345013544,0.18400533681761,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospiraceae UCG-007 sp.","Lachnospiraceae UCG-007",NA,"NS"
"ASV15",66236.9451708683,-30,3.12560437543387,-9.59814371767242,8.13971025600685e-22,7.48853343552631e-20,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"Low"
"ASV350",103.302186302345,29.4454637141595,3.93947701948604,7.47446007896781,7.75214751138493e-14,2.13959271314224e-12,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Coriobacteriaceae UCG-002 sp.","Coriobacteriaceae UCG-002",NA,"High"
"ASV211",161.629844110168,1.41452400514607,3.07534310268474,0.459956485476763,0.645547454693104,0.745485763578648,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Catenisphaera sp.","Catenisphaera",NA,"NS"
"ASV16",12041.5593107741,-1.43411343855601,2.32809246334421,-0.616003642954956,0.537892115456357,0.662759927973012,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
