"","Prevalence_Ascaris","AscAbundance","Prevalence_Jej","JejAbundance","Prevalence","TotalAbundance","Kingdom","Phylum","Class","Order","Family","Genus","Species","TotalReads","Rel_abund","Rel_prev","Rel_prev_Ascaris","Rel_prev_Jej","Rel_abund_Ascaris","Rel_abund_Jej"
"ASV149",8,15810.2906587872,4,1777.0340609872,12,17587.3247197744,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Marvinbryantia",NA,1e+06,1.75873247197744,21.4285714285714,17.0212765957447,44.4444444444444,1.58102906587872,0.17770340609872
"ASV44",11,58108.7398298209,5,18325.4548194204,16,76434.1946492413,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,7.64341946492413,28.5714285714286,23.4042553191489,55.5555555555556,5.81087398298209,1.83254548194204
"ASV35",31,191740.196827845,8,64840.2010562425,39,256580.397884087,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera",NA,1e+06,25.6580397884087,69.6428571428571,65.9574468085106,88.8888888888889,19.1740196827845,6.48402010562425
"ASV36",18,225814.394241225,5,107583.166878553,23,333397.561119778,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,1e+06,33.3397561119778,41.0714285714286,38.2978723404255,55.5555555555556,22.5814394241225,10.7583166878553
"ASV62",39,563246.520007762,1,398.667979925895,40,563645.187987688,"Bacteria","Proteobacteria","Gammaproteobacteria","Enterobacterales","Enterobacteriaceae","Escherichia-Shigella",NA,1e+06,56.3645187987688,71.4285714285714,82.9787234042553,11.1111111111111,56.3246520007762,0.0398667979925895
"ASV47",16,246028.426202923,3,27528.4666691588,19,273556.892872082,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","pontis",1e+06,27.3556892872082,33.9285714285714,34.0425531914894,33.3333333333333,24.6028426202923,2.75284666691588
"ASV252",9,1987.23060845713,3,859.157516524253,12,2846.38812498138,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.284638812498138,21.4285714285714,19.1489361702128,33.3333333333333,0.198723060845713,0.0859157516524253
"ASV1085",1,56.9638279692395,2,139.056447867777,3,196.020275837017,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.0196020275837017,5.35714285714286,2.12765957446809,22.2222222222222,0.00569638279692395,0.0139056447867777
"ASV2257",0,0,2,88.1266478801192,2,88.1266478801192,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera",NA,1e+06,0.00881266478801192,3.57142857142857,0,22.2222222222222,0,0.00881266478801192
"ASV112",0,0,2,3457.85766918363,2,3457.85766918363,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,0.345785766918363,3.57142857142857,0,22.2222222222222,0,0.345785766918363
"ASV3043",0,0,2,25.8970610474141,2,25.8970610474141,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.00258970610474141,3.57142857142857,0,22.2222222222222,0,0.00258970610474141
"ASV426",0,0,2,692.139302727623,2,692.139302727623,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,1e+06,0.0692139302727623,3.57142857142857,0,22.2222222222222,0,0.0692139302727623
"ASV266",0,0,2,1241.47322306028,2,1241.47322306028,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,1e+06,0.124147322306028,3.57142857142857,0,22.2222222222222,0,0.124147322306028
"ASV26",16,78774.8382734833,3,1090.09866134459,19,79864.9369348278,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Anaerovibrio",NA,1e+06,7.98649369348278,33.9285714285714,34.0425531914894,33.3333333333333,7.87748382734832,0.109009866134459
"ASV277",3,1876.43270915002,3,3000.97343740569,6,4877.40614655571,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella",NA,1e+06,0.487740614655571,10.7142857142857,6.38297872340426,33.3333333333333,0.187643270915002,0.300097343740569
"ASV248",1,4882.51449496491,2,3800.4925429398,3,8683.00703790471,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera",NA,1e+06,0.868300703790471,5.35714285714286,2.12765957446809,22.2222222222222,0.488251449496491,0.38004925429398
"ASV462",0,0,4,314.002568385703,4,314.002568385703,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,0.0314002568385703,7.14285714285714,0,44.4444444444444,0,0.0314002568385703
"ASV308",3,1353.58388152883,1,1402.61101434979,4,2756.19489587862,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] nodatum group",NA,1e+06,0.275619489587862,7.14285714285714,6.38297872340426,11.1111111111111,0.135358388152883,0.140261101434979
"ASV75",10,36918.7925818131,2,2418.58076914625,12,39337.3733509594,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,3.93373733509594,21.4285714285714,21.2765957446809,22.2222222222222,3.69187925818131,0.241858076914625
"ASV71",9,33567.2816942371,2,818.921939898394,11,34386.2036341355,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella",NA,1e+06,3.43862036341355,19.6428571428571,19.1489361702128,22.2222222222222,3.35672816942371,0.0818921939898394
"ASV155",4,19910.3345958424,2,442.696041210755,6,20353.0306370532,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Dialister",NA,1e+06,2.03530306370532,10.7142857142857,8.51063829787234,22.2222222222222,1.99103345958424,0.0442696041210755
"ASV37",19,52379.613490425,8,20639.5144824794,27,73019.1279729044,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1","butyricum",1e+06,7.30191279729044,48.2142857142857,40.4255319148936,88.8888888888889,5.2379613490425,2.06395144824794
"ASV50",19,146053.413861668,5,31900.9403115618,24,177954.35417323,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelatoclostridiaceae","Erysipelotrichaceae UCG-002","bacterium",1e+06,17.795435417323,42.8571428571429,40.4255319148936,55.5555555555556,14.6053413861668,3.19009403115618
"ASV156",6,23715.1099095207,0,0,6,23715.1099095207,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,2.37151099095207,10.7142857142857,12.7659574468085,0,2.37151099095207,0
"ASV328",3,9592.28712792634,0,0,3,9592.28712792634,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,1e+06,0.959228712792634,5.35714285714286,6.38297872340426,0,0.959228712792634,0
"ASV31",20,159705.690624769,7,82921.3566294661,27,242627.047254235,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,24.2627047254235,48.2142857142857,42.5531914893617,77.7777777777778,15.9705690624769,8.2921356629466
"ASV1097",2,807.908304415091,0,0,2,807.908304415091,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia",NA,1e+06,0.0807908304415091,3.57142857142857,4.25531914893617,0,0.0807908304415091,0
"ASV82",3,2886.57003488549,2,3479.47737742674,5,6366.04741231223,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,0.636604741231224,8.92857142857143,6.38297872340426,22.2222222222222,0.288657003488549,0.347947737742674
"ASV1036",0,0,2,86.7578375707265,2,86.7578375707265,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora",NA,1e+06,0.00867578375707265,3.57142857142857,0,22.2222222222222,0,0.00867578375707265
"ASV42",14,77174.2289029844,5,20484.4416499113,19,97658.6705528957,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,9.76586705528957,33.9285714285714,29.7872340425532,55.5555555555556,7.71742289029844,2.04844416499113
"ASV181",2,416.253492096016,2,169.519816702172,4,585.773308798188,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,0.0585773308798188,7.14285714285714,4.25531914893617,22.2222222222222,0.0416253492096016,0.0169519816702172
"ASV34",14,97372.950360065,3,10228.2873636507,17,107601.237723716,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,10.7601237723716,30.3571428571429,29.7872340425532,33.3333333333333,9.7372950360065,1.02282873636507
"ASV12",25,77102.8067128066,6,41285.3554657289,31,118388.162178536,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrio",NA,1e+06,11.8388162178536,55.3571428571429,53.1914893617021,66.6666666666667,7.71028067128066,4.12853554657289
"ASV423",0,0,2,112.498104627036,2,112.498104627036,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,0.0112498104627036,3.57142857142857,0,22.2222222222222,0,0.0112498104627036
"ASV83",18,73490.168458608,5,38906.6105996783,23,112396.779058286,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Atopobiaceae","Olsenella",NA,1e+06,11.2396779058286,41.0714285714286,38.2978723404255,55.5555555555556,7.3490168458608,3.89066105996783
"ASV121",4,8232.47886211951,1,1105.41654105115,5,9337.89540317067,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA,1e+06,0.933789540317067,8.92857142857143,8.51063829787234,11.1111111111111,0.823247886211951,0.110541654105115
"ASV212",3,16881.8018085308,1,3329.2744955995,4,20211.0763041303,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,2.02110763041303,7.14285714285714,6.38297872340426,11.1111111111111,1.68818018085308,0.33292744955995
"ASV25",25,131830.039939112,5,13413.3610374255,30,145243.400976537,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella","copri",1e+06,14.5243400976537,53.5714285714286,53.1914893617021,55.5555555555556,13.1830039939112,1.34133610374255
"ASV548",1,602.137588438958,2,213.864670631346,3,816.002259070304,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Incertae Sedis",NA,1e+06,0.0816002259070304,5.35714285714286,2.12765957446809,22.2222222222222,0.0602137588438958,0.0213864670631346
"ASV145",2,7865.90487601692,3,3055.27754452821,5,10921.1824205451,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Oscillospiraceae","UCG-005",NA,1e+06,1.09211824205451,8.92857142857143,4.25531914893617,33.3333333333333,0.786590487601691,0.305527754452821
"ASV18",31,634370.335993354,4,27064.4432901182,35,661434.779283472,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,66.1434779283472,62.5,65.9574468085106,44.4444444444444,63.4370335993353,2.70644432901182
"ASV955",2,112.643038928996,4,302.345795990662,6,414.988834919658,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA,1e+06,0.0414988834919658,10.7142857142857,4.25531914893617,44.4444444444444,0.0112643038928996,0.0302345795990662
"ASV313",0,0,2,385.516697426386,2,385.516697426386,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Cellulosilyticum",NA,1e+06,0.0385516697426386,3.57142857142857,0,22.2222222222222,0,0.0385516697426386
"ASV883",2,313.858797281366,2,130.13675635609,4,443.995553637456,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA,1e+06,0.0443995553637456,7.14285714285714,4.25531914893617,22.2222222222222,0.0313858797281366,0.013013675635609
"ASV102",7,24018.9736179288,2,2751.31097155117,9,26770.28458948,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,2.677028458948,16.0714285714286,14.8936170212766,22.2222222222222,2.40189736179288,0.275131097155117
"ASV1074",0,0,2,110.98808326508,2,110.98808326508,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.011098808326508,3.57142857142857,0,22.2222222222222,0,0.011098808326508
"ASV1936",0,0,2,88.1266478801192,2,88.1266478801192,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.00881266478801192,3.57142857142857,0,22.2222222222222,0,0.00881266478801192
"ASV1496",0,0,2,96.5418511895842,2,96.5418511895842,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.00965418511895843,3.57142857142857,0,22.2222222222222,0,0.00965418511895843
"ASV27",14,92152.8958471726,4,14443.2271498021,18,106596.122996975,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,10.6596122996975,32.1428571428571,29.7872340425532,44.4444444444444,9.21528958471726,1.44432271498021
"ASV167",4,6614.91227182101,1,759.301442672741,5,7374.21371449375,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA,1e+06,0.737421371449375,8.92857142857143,8.51063829787234,11.1111111111111,0.661491227182101,0.0759301442672741
"ASV2727",0,0,2,73.9551156540549,2,73.9551156540549,"Bacteria","Actinobacteriota","Coriobacteriia","Coriobacteriales","Eggerthellaceae","Denitrobacterium",NA,1e+06,0.0073955115654055,3.57142857142857,0,22.2222222222222,0,0.0073955115654055
"ASV118",8,22276.8228807244,0,0,8,22276.8228807244,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,2.22768228807244,14.2857142857143,17.0212765957447,0,2.22768228807244,0
"ASV78",7,33722.8548352924,2,499.94672968239,9,34222.8015649748,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,3.42228015649748,16.0714285714286,14.8936170212766,22.2222222222222,3.37228548352924,0.049994672968239
"ASV101",8,4653.62609531132,4,22899.8076827953,12,27553.4337781066,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,2.75534337781066,21.4285714285714,17.0212765957447,44.4444444444444,0.465362609531132,2.28998076827953
"ASV30",35,236621.899727612,7,39718.5513353327,42,276340.451062944,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","reuteri",1e+06,27.6340451062944,75,74.468085106383,77.7777777777778,23.6621899727612,3.97185513353327
"ASV321",1,40.399143538157,2,94.3713957216854,3,134.770539259842,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,1e+06,0.0134770539259842,5.35714285714286,2.12765957446809,22.2222222222222,0.0040399143538157,0.00943713957216854
"ASV652",0,0,2,138.78110437546,2,138.78110437546,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.013878110437546,3.57142857142857,0,22.2222222222222,0,0.013878110437546
"ASV1339",0,0,2,216.109018045566,2,216.109018045566,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Solobacterium",NA,1e+06,0.0216109018045566,3.57142857142857,0,22.2222222222222,0,0.0216109018045566
"ASV228",4,16321.4777435019,0,0,4,16321.4777435019,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,1.63214777435019,7.14285714285714,8.51063829787234,0,1.63214777435019,0
"ASV210",6,41746.310098891,4,4404.79769435457,10,46151.1077932456,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus","porcorum",1e+06,4.61511077932456,17.8571428571429,12.7659574468085,44.4444444444444,4.1746310098891,0.440479769435457
"ASV263",2,439.145939322834,0,0,2,439.145939322834,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA,1e+06,0.0439145939322834,3.57142857142857,4.25531914893617,0,0.0439145939322834,0
"ASV91",32,37751.1560337255,7,20606.0137181678,39,58357.1697518933,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,5.83571697518933,69.6428571428571,68.0851063829787,77.7777777777778,3.77511560337255,2.06060137181678
"ASV751",0,0,2,110.9262544038,2,110.9262544038,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia",NA,1e+06,0.01109262544038,3.57142857142857,0,22.2222222222222,0,0.01109262544038
"ASV21",26,520235.754458254,3,21172.8221984128,29,541408.576656667,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,54.1408576656667,51.7857142857143,55.3191489361702,33.3333333333333,52.0235754458255,2.11728221984128
"ASV356",3,927.355871823313,1,1218.75177144153,4,2146.10764326484,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.214610764326484,7.14285714285714,6.38297872340426,11.1111111111111,0.0927355871823313,0.121875177144153
"ASV830",0,0,2,181.525508506376,2,181.525508506376,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group",NA,1e+06,0.0181525508506376,3.57142857142857,0,22.2222222222222,0,0.0181525508506376
"ASV54",12,55519.8648919696,4,4076.17002783075,16,59596.0349198003,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,5.95960349198003,28.5714285714286,25.531914893617,44.4444444444444,5.55198648919696,0.407617002783075
"ASV69",1,2756.24461670973,4,10339.9918899354,5,13096.2365066451,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Anaerosporobacter",NA,1e+06,1.30962365066451,8.92857142857143,2.12765957446809,44.4444444444444,0.275624461670973,1.03399918899354
"ASV14",33,478539.80761956,9,68388.9141633812,42,546928.721782942,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Megasphaera",NA,1e+06,54.6928721782942,75,70.2127659574468,100,47.853980761956,6.83889141633812
"ASV182",9,7474.69333784034,6,3043.68041838216,15,10518.3737562225,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,1.05183737562225,26.7857142857143,19.1489361702128,66.6666666666667,0.747469333784034,0.304368041838216
"ASV41",21,167752.090250194,8,23317.8251791264,29,191069.91542932,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Intestinibacter",NA,1e+06,19.106991542932,51.7857142857143,44.6808510638298,88.8888888888889,16.7752090250194,2.33178251791264
"ASV197",1,569.638279692395,3,2392.00866603455,4,2961.64694572694,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium",NA,1e+06,0.296164694572695,7.14285714285714,2.12765957446809,33.3333333333333,0.0569638279692395,0.239200866603455
"ASV241",2,2008.72782925501,4,2455.78714875507,6,4464.51497801008,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,0.446451497801008,10.7142857142857,4.25531914893617,44.4444444444444,0.200872782925501,0.245578714875507
"ASV467",0,0,2,771.01906912407,2,771.01906912407,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.0771019069124071,3.57142857142857,0,22.2222222222222,0,0.0771019069124071
"ASV141",7,10820.9113961328,1,5929.05235654708,8,16749.9637526799,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,1.67499637526799,14.2857142857143,14.8936170212766,11.1111111111111,1.08209113961328,0.592905235654708
"ASV332",0,0,3,147.848703788429,3,147.848703788429,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,0.0147848703788429,5.35714285714286,0,33.3333333333333,0,0.0147848703788429
"ASV92",3,4026.42165277152,2,63.3067799280268,5,4089.72843269954,"Bacteria","Proteobacteria","Gammaproteobacteria","Aeromonadales","Succinivibrionaceae","Succinivibrionaceae UCG-001",NA,1e+06,0.408972843269954,8.92857142857143,6.38297872340426,22.2222222222222,0.402642165277152,0.00633067799280268
"ASV201",19,30239.0300637995,3,753.003349246641,22,30992.0334130461,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Leuconostoc",NA,1e+06,3.09920334130461,39.2857142857143,40.4255319148936,33.3333333333333,3.02390300637995,0.0753003349246641
"ASV33",13,199459.371693565,6,31805.6158847939,19,231264.987578358,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,23.1264987578358,33.9285714285714,27.6595744680851,66.6666666666667,19.9459371693565,3.18056158847939
"ASV22",39,426442.525185423,8,63305.1160479492,47,489747.641233372,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,48.9747641233372,83.9285714285714,82.9787234042553,88.8888888888889,42.6442525185423,6.33051160479492
"ASV391",0,0,3,259.868834243358,3,259.868834243358,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,0.0259868834243358,5.35714285714286,0,33.3333333333333,0,0.0259868834243358
"ASV215",4,9023.40655868144,1,184.229918938836,5,9207.63647762028,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Ruminococcus",NA,1e+06,0.920763647762028,8.92857142857143,8.51063829787234,11.1111111111111,0.902340655868144,0.0184229918938836
"ASV400",0,0,4,637.234649331016,4,637.234649331016,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.0637234649331016,7.14285714285714,0,44.4444444444444,0,0.0637234649331016
"ASV169",1,1489.64695367198,3,327.619451635705,4,1817.26640530768,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,0.181726640530768,7.14285714285714,2.12765957446809,33.3333333333333,0.148964695367198,0.0327619451635705
"ASV48",12,58665.0064227855,1,35963.2774211362,13,94628.2838439217,"Bacteria","Campilobacterota","Campylobacteria","Campylobacterales","Helicobacteraceae","Helicobacter","rappini",1e+06,9.46282838439217,23.2142857142857,25.531914893617,11.1111111111111,5.86650064227855,3.59632774211362
"ASV2729",0,0,2,62.4424578208564,2,62.4424578208564,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.00624424578208564,3.57142857142857,0,22.2222222222222,0,0.00624424578208564
"ASV148",4,1653.45983740946,4,1415.70831937319,8,3069.16815678265,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,0.306916815678265,14.2857142857143,8.51063829787234,44.4444444444444,0.165345983740946,0.141570831937319
"ASV138",3,6462.88910556214,3,2617.3741903279,6,9080.26329589004,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Selenomonadaceae","Mitsuokella","jalaludinii",1e+06,0.908026329589004,10.7142857142857,6.38297872340426,33.3333333333333,0.646288910556214,0.26173741903279
"ASV175",4,4217.58717870895,4,139.977299214154,8,4357.5644779231,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella",NA,1e+06,0.43575644779231,14.2857142857143,8.51063829787234,44.4444444444444,0.421758717870895,0.0139977299214154
"ASV2504",0,0,2,48.2655691690403,2,48.2655691690403,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA,1e+06,0.00482655691690403,3.57142857142857,0,22.2222222222222,0,0.00482655691690403
"ASV2022",1,150.53439710974,2,25.8970610474141,3,176.431458157154,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus",NA,1e+06,0.0176431458157154,5.35714285714286,2.12765957446809,22.2222222222222,0.015053439710974,0.00258970610474141
"ASV1444",0,0,2,43.3789187853632,2,43.3789187853632,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter",NA,1e+06,0.00433789187853632,3.57142857142857,0,22.2222222222222,0,0.00433789187853632
"ASV513",0,0,3,168.572853663847,3,168.572853663847,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,0.0168572853663847,5.35714285714286,0,33.3333333333333,0,0.0168572853663847
"ASV39",13,238194.516210171,2,175694.809516265,15,413889.325726436,"Bacteria","Firmicutes","Negativicutes","Veillonellales-Selenomonadales","Veillonellaceae","Veillonella",NA,1e+06,41.3889325726436,26.7857142857143,27.6595744680851,22.2222222222222,23.8194516210171,17.5694809516265
"ASV7",33,1779547.96929828,9,1106717.93547806,42,2886265.90477634,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Romboutsia",NA,1e+06,288.626590477634,75,70.2127659574468,100,177.954796929828,110.671793547806
"ASV544",0,0,3,50.1616261291069,3,50.1616261291069,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Terrisporobacter",NA,1e+06,0.00501616261291069,5.35714285714286,0,33.3333333333333,0,0.00501616261291069
"ASV23",13,243912.006813419,6,184782.043797228,19,428694.050610647,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus","amylovorus",1e+06,42.8694050610647,33.9285714285714,27.6595744680851,66.6666666666667,24.3912006813419,18.4782043797228
"ASV259",5,23196.6129442655,0,0,5,23196.6129442655,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1",NA,1e+06,2.31966129442655,8.92857142857143,10.6382978723404,0,2.31966129442655,0
"ASV134",3,3930.89517238215,2,2355.72550878248,5,6286.62068116463,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group",NA,1e+06,0.628662068116463,8.92857142857143,6.38297872340426,22.2222222222222,0.393089517238215,0.235572550878248
"ASV6",33,1503651.59988828,9,132431.220187711,42,1636082.82007599,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus",NA,1e+06,163.608282007599,75,70.2127659574468,100,150.365159988828,13.2431220187711
"ASV84",7,25661.6920046223,0,0,7,25661.6920046223,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Agathobacter",NA,1e+06,2.56616920046223,12.5,14.8936170212766,0,2.56616920046223,0
"ASV116",7,28416.3897275669,0,0,7,28416.3897275669,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella",NA,1e+06,2.84163897275669,12.5,14.8936170212766,0,2.84163897275669,0
