"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"InfectionStatus",1,0.541427530177752,0.541427530177752,22.5998581834264,0.191059594133313,0.001
"Origin",1,0.136246536290999,0.136246536290999,5.68709979920811,0.0480788406110082,0.03
"Residuals",90,2.15614086250031,0.0239571206944479,NA,0.760861565255678,NA
"Total",92,2.83381492896906,NA,NA,1,NA
