"","OTU",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Actinobacteriota","Abundance","Experiment_1","Experiment_2",20,21,420,1.43e-08,1.716e-07,"****",11,1,2
"2","Actinobacteriota","Abundance","Experiment_1","Slaughterhouse",20,18,360,6.08e-08,7.296e-07,"****",12,1,3
"3","Bacteroidota","Abundance","Experiment_1","Experiment_2",20,21,356,6.36e-05,0.0007632,"***",40,1,2
"4","Bacteroidota","Abundance","Experiment_1","Slaughterhouse",20,18,317,6.47e-05,0.0007764,"***",45,1,3
"5","Firmicutes","Abundance","Experiment_1","Experiment_2",20,21,89,0.001,0.012,"*",111,1,2
"6","Firmicutes","Abundance","Experiment_2","Slaughterhouse",21,18,301,0.001,0.012,"*",116,2,3
"7","Proteobacteria","Abundance","Experiment_2","Slaughterhouse",21,18,72,0.000669,0.008028,"**",101,2,3
