"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","Kingdom","Phylum","Class","Order","Family","Bacteria_name","Genus","Species","AbundLev"
"ASV221",7.18102176714478,-4.8009224899561,3.53718829774169,-1.35727082808151,0.174695172898114,0.234540370666738,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Rikenellaceae","Rikenellaceae RC9 gut group sp.","Rikenellaceae RC9 gut group",NA,"NS"
"ASV3802",4.25107111670054,6.83279749295952,3.41172836199523,2.00273784075928,0.0452054348592967,0.0795197913531523,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV942",29.9239466403098,1.3184563866773,3.3369187390208,0.395111925040222,0.692760288491052,0.748968019808784,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV5187",6.19490485091359,7.37302692195526,3.40820156359216,2.16331891890346,0.0305166589547334,0.0729389202819413,"Bacteria","Proteobacteria","Gammaproteobacteria","Burkholderiales","Sutterellaceae","Parasutterella sp.","Parasutterella",NA,"NS"
"ASV2614",6.53774203680981,7.45278562198196,3.40778367199597,2.18698906366224,0.028743322374208,0.0726605601814504,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV807",7.38078218194247,0.292269240329486,3.35961101708211,0.086994964251346,0.930675514878371,0.947517580956639,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Pseudoscardovia sp.","Pseudoscardovia",NA,"NS"
"ASV2451",8.6663092115851,22.94881803994,3.40597800077132,6.73780571534606,1.60796371093337e-11,1.08486665560442e-10,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter sp.","Turicibacter",NA,"High"
"ASV3414",8.31740879283885,7.79912731603499,3.40621409021609,2.28967619458711,0.0220400943896133,0.0663693237834117,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Anaerobacter sp.","Anaerobacter",NA,"NS"
"ASV3997",4.37766438022084,6.87588695984895,3.41139627195408,2.01556383712361,0.0438456044508955,0.0794887999058751,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
"ASV7819",3.00359023074598,6.32680215474404,3.41646560106991,1.85185595100466,0.0640465106954308,0.0945617457082122,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV2633",8.75532876044168,22.962200544569,3.40591861290104,6.7418523911852,1.56379913968559e-11,1.08486665560442e-10,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora sp.","Asaccharospora",NA,"High"
"ASV2019",7.12066772708148,-4.77676018622297,3.53724498534574,-1.35041825093041,0.176881859796056,0.236285792659894,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV6858",3.00359023074598,6.32680215474404,3.41646560106991,1.85185595100466,0.0640465106954308,0.0945617457082122,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella sp.","Weissella",NA,"NS"
"ASV2090",8.31740879283885,7.79912731603499,3.40621409021609,2.28967619458711,0.0220400943896133,0.0663693237834117,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Leuconostocaceae","Weissella sp.","Weissella",NA,"NS"
"ASV6419",3.00359023074598,6.32680215474404,3.41646560106991,1.85185595100466,0.0640465106954308,0.0945617457082122,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV203",88.6076586553827,-0.0609758751873902,3.19784278473568,-0.0190678151779216,0.984787006527569,0.988496185459876,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV6843",3.00359023074598,6.32680215474404,3.41646560106991,1.85185595100466,0.0640465106954308,0.0945617457082122,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV235",6.19490485091359,7.37302692195526,3.40820156359216,2.16331891890346,0.0305166589547334,0.0729389202819413,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Alloprevotella sp.","Alloprevotella",NA,"NS"
"ASV1277",17.8587410603946,8.90199863805515,3.11885397554284,2.85425310317895,0.00431381479948968,0.017418661273697,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV3592",6.5001683221461,7.44554037390256,3.40782068860597,2.18483924309653,0.0289006355693574,0.0726605601814504,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","Mogibacterium sp.","Mogibacterium",NA,"NS"
"ASV2816",4.25107111670054,6.83279749295952,3.41172836199523,2.00273784075928,0.0452054348592967,0.0795197913531523,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora sp.","Asaccharospora",NA,"NS"
"ASV671",47.9956531008297,10.3286285433031,3.40142631107959,3.03655807849174,0.00239296003793134,0.0103694934977025,"Bacteria","Actinobacteriota","Actinobacteria","Bifidobacteriales","Bifidobacteriaceae","Bifidobacterium sp.","Bifidobacterium",NA,"NS"
"ASV310",135.297266514654,-22.0516578944555,3.53400008338224,-6.23985777423945,4.379689262077e-10,2.5266194564989e-09,"Bacteria","Firmicutes","Clostridia","Lachnospirales","Lachnospiraceae","Lachnospira sp.","Lachnospira",NA,"Low"
"ASV2608",8.26813371804528,3.20925427443178,3.3523226991163,0.957322597635891,0.338404452864803,0.406237777875991,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter sp.","Turicibacter",NA,"NS"
"ASV1329",3.14697906507907,-3.59807394020205,3.54153978195282,-1.01596315775904,0.309646931117614,0.375949463065349,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Solobacterium sp.","Solobacterium",NA,"NS"
"ASV3789",4.40917486203452,6.88464947036319,3.41132994019124,2.01817167822156,0.0435733846767637,0.0794887999058751,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV495",76.4101419093092,25.9890262922835,3.40105309866217,7.64146443420907,2.1476485492834e-14,1.43087084596007e-12,"Bacteria","Verrucomicrobiota","Lentisphaeria","Victivallales","Victivallaceae","Victivallis vadensis","Victivallis","vadensis","High"
"ASV487",83.8402798214049,11.1333024816066,3.12799895032175,3.55924111817921,0.000371927951891237,0.00176997855676812,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV60",5338.39926478227,-2.63207621491647,3.33190783742091,-0.789960690195395,0.429550725906771,0.495563932701968,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus delbrueckii","Lactobacillus","delbrueckii","NS"
"ASV133",302.913721751167,-0.672055240785154,3.33276347258318,-0.201651046140473,0.840189535816369,0.874650434746337,"Bacteria","Firmicutes","Clostridia","Oscillospirales","Ruminococcaceae","Subdoligranulum sp.","Subdoligranulum",NA,"NS"
"ASV32",926.843132123271,-25.6855406540408,3.53384661911309,-7.26843675532449,3.63671344446586e-13,1.2922455106002e-11,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotella sp.","Prevotella",NA,"Low"
"ASV74",134.636677906895,-23.0587900264756,3.53400087903908,-6.52483992385011,6.8074197278165e-11,4.42482282308072e-10,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae UCG-003 sp.","Prevotellaceae UCG-003",NA,"Low"
"ASV189",1058.01051976049,29.6342190789963,3.40046797291946,8.7147472980179,2.91407936809567e-18,1.55320430319499e-15,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus sp.","Streptococcus",NA,"High"
"ASV2540",8.75532876044168,22.962200544569,3.40591861290104,6.7418523911852,1.56379913968559e-11,1.08486665560442e-10,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora sp.","Asaccharospora",NA,"High"
"ASV1890",11.3270622564349,8.24464157098455,3.40467644190969,2.42156390237191,0.0154538836914489,0.0484524706326016,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"NS"
"ASV881",13.1329931406625,23.5302145327806,3.40408851779555,6.91233920909276,4.76726221453139e-12,6.29468091741822e-11,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Lactobacillaceae","Lactobacillus sp.","Lactobacillus",NA,"High"
"ASV4708",3.22487397658093,-3.64148301585357,3.54131264858705,-1.02828622525223,0.303815208684102,0.374846079232931,"Bacteria","Firmicutes","Bacilli","Lactobacillales","Streptococcaceae","Streptococcus sp.","Streptococcus",NA,"NS"
"ASV1131",25.8360119778774,4.06948462750488,3.34052419230315,1.21821737944043,0.223141376959372,0.287976643872507,"Bacteria","Firmicutes","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter sp.","Turicibacter",NA,"NS"
"ASV231",113.204567088456,-8.77704377392105,3.41112227797541,-2.57306629861726,0.0100801895981081,0.0353469806302081,"Bacteria","Firmicutes","Clostridia","Peptococcales","Peptococcaceae","Peptococcus sp.","Peptococcus",NA,"NS"
"ASV94",28.7240870685791,-20.9676844397151,3.53466555953631,-5.93201367613,2.99241691665951e-09,1.61106890563588e-08,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Prevotellaceae","Prevotellaceae NK3B31 group sp.","Prevotellaceae NK3B31 group",NA,"Low"
"ASV1026",21.3613823846448,9.16064928623688,3.10169941421944,2.95342909252933,0.00314264796859585,0.0130856772695169,"Bacteria","Firmicutes","Clostridia","Clostridiales","Clostridiaceae","Clostridium sensu stricto 1 sp.","Clostridium sensu stricto 1",NA,"NS"
"ASV3593",6.5001683221461,7.44554037390256,3.40782068860597,2.18483924309653,0.0289006355693574,0.0726605601814504,"Bacteria","Firmicutes","Clostridia","Peptostreptococcales-Tissierellales","Anaerovoracaceae","[Eubacterium] nodatum group sp.","[Eubacterium] nodatum group",NA,"NS"
