"","Barcode_name","ASVs_dada2","input","filtered","denoisedF","denoisedR","merged","nochim","perc_original_sequences","perc_ASV_sequences"
"268","FLD0145",NA,310,0,NA,NA,NA,NA,NA,NA
"269","FLD0146",NA,1,0,NA,NA,NA,NA,NA,NA
"270","FLD0155",NA,0,0,NA,NA,NA,NA,NA,NA
"271","FLD0159",NA,0,0,NA,NA,NA,NA,NA,NA
"272","FLD0175",NA,0,0,NA,NA,NA,NA,NA,NA
"273","FLD0179",NA,0,0,NA,NA,NA,NA,NA,NA
"274","FLD0180",NA,1,0,NA,NA,NA,NA,NA,NA
"275","FLD0188",NA,0,0,NA,NA,NA,NA,NA,NA
"276","FLD0194",NA,0,0,NA,NA,NA,NA,NA,NA
"277","FLD0218",NA,0,0,NA,NA,NA,NA,NA,NA
"278","FLD0232",NA,0,0,NA,NA,NA,NA,NA,NA
"279","FLD0243",NA,5,0,NA,NA,NA,NA,NA,NA
"280","FLD0244",NA,0,0,NA,NA,NA,NA,NA,NA
"281","FLD0266",NA,0,0,NA,NA,NA,NA,NA,NA
"282","FLD0283",NA,0,0,NA,NA,NA,NA,NA,NA
