"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","dist","Exp1-Exp1","Exp1-Exp2",780,110,31597,7.54e-06,4.524e-05,"****",0.99332,1,2
"2","dist","Exp1-Exp1","Exp2-Exp1",780,770,236551,4.64e-13,2.784e-12,"****",1.002104,1,3
"3","dist","Exp1-Exp1","Exp2-Exp2",780,231,99682,0.014,0.084,"ns",1.010888,1,4
"4","dist","Exp1-Exp2","Exp2-Exp1",110,770,44163,0.467,1,"ns",1.019672,2,3
"5","dist","Exp1-Exp2","Exp2-Exp2",110,231,17506,1.69e-08,1.014e-07,"****",1.028456,2,4
"6","dist","Exp2-Exp1","Exp2-Exp2",770,231,117792,7.01e-14,4.206e-13,"****",1.03724,3,4
