"","Compartment",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","x","xmin","xmax"
"1","Duodenum","Shannon","Infected","Non_infected",9,2,13,0.436,1,"ns",3.75836,1,0.8,1.2
"2","Jejunum","Shannon","Infected","Non_infected",9,3,12,0.864,1,"ns",2.93536,2,1.8,2.2
"3","Ileum","Shannon","Infected","Non_infected",8,3,18,0.279,1,"ns",3.96736,3,2.8,3.2
"4","Cecum","Shannon","Infected","Non_infected",10,4,3,0.014,0.07,"ns",4.46836,4,3.8,4.2
"5","Colon","Shannon","Infected","Non_infected",10,4,0,0.002,0.01,"**",4.50836,5,4.8,5.2
