"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","v.PCoA2","Infected","Non_infected",9,3,18,0.482,1,"ns",0.42152,1,2
"2","v.PCoA2","Infected","Worm",9,47,185,0.568,1,"ns",0.5198,1,3
"3","v.PCoA2","Non_infected","Worm",3,47,14,0.015,0.045,"*",0.61808,2,3
