"","Genus",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"43","Lactobacillus","Abundance","Prevotella","Romboutsia",1,4,0,0.4,1,"ns",246.367645714286,4,5
"44","Lactobacillus","Abundance","Prevotella","Streptococcus",1,1,0,1,1,"ns",258.912102857143,4,6
"45","Lactobacillus","Abundance","Romboutsia","Streptococcus",4,1,0,0.4,1,"ns",271.45656,5,6
"46","Prevotella","Abundance","Clostridium sensu stricto 1","Lactobacillus",19,17,99,0.049,1,"ns",31.21216,1,2
"47","Prevotella","Abundance","Clostridium sensu stricto 1","Escherichia-Shigella",19,3,6,0.03,1,"ns",43.7566171428571,1,3
"48","Prevotella","Abundance","Clostridium sensu stricto 1","Prevotella",19,1,1,0.2,1,"ns",56.3010742857143,1,4
"49","Prevotella","Abundance","Clostridium sensu stricto 1","Romboutsia",19,4,49,0.409,1,"ns",68.8455314285714,1,5
"50","Prevotella","Abundance","Clostridium sensu stricto 1","Streptococcus",19,1,3,0.4,1,"ns",81.3899885714286,1,6
"51","Prevotella","Abundance","Lactobacillus","Escherichia-Shigella",17,3,17,0.416,1,"ns",93.9344457142857,2,3
"52","Prevotella","Abundance","Lactobacillus","Prevotella",17,1,3,0.444,1,"ns",106.478902857143,2,4
"53","Prevotella","Abundance","Lactobacillus","Romboutsia",17,4,44,0.41,1,"ns",119.02336,2,5
"54","Prevotella","Abundance","Lactobacillus","Streptococcus",17,1,8,1,1,"ns",131.567817142857,2,6
"55","Prevotella","Abundance","Escherichia-Shigella","Prevotella",3,1,0,0.5,1,"ns",144.112274285714,3,4
"56","Prevotella","Abundance","Escherichia-Shigella","Romboutsia",3,4,9,0.4,1,"ns",156.656731428571,3,5
"57","Prevotella","Abundance","Escherichia-Shigella","Streptococcus",3,1,2,1,1,"ns",169.201188571429,3,6
"58","Prevotella","Abundance","Prevotella","Romboutsia",1,4,3,0.8,1,"ns",181.745645714286,4,5
"59","Prevotella","Abundance","Prevotella","Streptococcus",1,1,1,1,1,"ns",194.290102857143,4,6
"60","Prevotella","Abundance","Romboutsia","Streptococcus",4,1,1,0.8,1,"ns",206.83456,5,6
"61","Romboutsia","Abundance","Clostridium sensu stricto 1","Lactobacillus",16,15,125,0.861,1,"ns",65.14016,1,2
"62","Romboutsia","Abundance","Clostridium sensu stricto 1","Escherichia-Shigella",16,3,27,0.793,1,"ns",77.6846171428571,1,3
"63","Romboutsia","Abundance","Clostridium sensu stricto 1","Prevotella",16,1,9,0.941,1,"ns",90.2290742857143,1,4
"64","Romboutsia","Abundance","Clostridium sensu stricto 1","Romboutsia",16,4,0,0.000413,0.03717,"*",102.773531428571,1,5
"65","Romboutsia","Abundance","Clostridium sensu stricto 1","Streptococcus",16,1,8,1,1,"ns",115.317988571429,1,6
"66","Romboutsia","Abundance","Lactobacillus","Escherichia-Shigella",15,3,27,0.654,1,"ns",127.862445714286,2,3
"67","Romboutsia","Abundance","Lactobacillus","Prevotella",15,1,10,0.75,1,"ns",140.406902857143,2,4
