"",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","dist","Exp1-Exp1","Exp1-Exp2",504,462,88118,6.38e-11,3.828e-10,"****",0.9964,1,2
"2","dist","Exp1-Exp1","Exp2-Exp1",504,624,61858,7.58e-69,4.548e-68,"****",1.00288,1,3
"3","dist","Exp1-Exp1","Exp2-Exp2",504,572,79860,1.31e-36,7.86e-36,"****",1.00936,1,4
"4","dist","Exp1-Exp2","Exp2-Exp1",462,624,85790,3.36e-30,2.016e-29,"****",1.01584,2,3
"5","dist","Exp1-Exp2","Exp2-Exp2",462,572,96830,1.42e-13,8.52e-13,"****",1.02232,2,4
"6","dist","Exp2-Exp1","Exp2-Exp2",624,572,193399,0.012,0.072,"ns",1.0288,3,4
