"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"Compartment",5,7.1567864441118,1.43135728882236,8.49192771463341,0.294975688315624,0.001
"Origin",1,2.60977192133466,2.60977192133466,15.4832023288103,0.107564935024133,0.001
"Residuals",86,14.4957341813686,0.168555048620565,NA,0.597459376660244,NA
"Total",92,24.2622925468151,NA,NA,1,NA
