"","OTU",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Actinobacteriota","Abundance","Female","Male",35,30,545,0.776,1,"ns",20.83384,1,2
"2","Bacteroidota","Abundance","Female","Male",35,30,354.5,0.0252,0.1008,"ns",45.78984,1,2
"3","Firmicutes","Abundance","Female","Male",35,30,708,0.0156,0.0624,"ns",110.82884,1,2
"4","Proteobacteria","Abundance","Female","Male",35,30,354,0.0241,0.0964,"ns",108.78284,1,2
