"","Df","SumsOfSqs","MeanSqs","F.Model","R2","Pr(>F)"
"Compartment",4,4.79030708638732,1.19757677159683,8.19357956849594,0.314469005703275,0.001
"InfectionStatus",1,1.04648204239048,1.04648204239048,7.1598198000246,0.068698344682752,0.001
"Origin",1,1.35739181027179,1.35739181027179,9.28700194164326,0.0891086198083092,0.001
"Residuals",55,8.03882135850381,0.146160388336433,NA,0.527724029805664,NA
"Total",61,15.2330022975534,NA,NA,1,NA
