"","Genus",".y.","group1","group2","n1","n2","statistic","p","p.adj","p.adj.signif","y.position","xmin","xmax"
"1","Clostridium sensu stricto 1","Abundance","1","2",20,19,380,2.9e-11,2.61e-10,"****",109.01724,1,2
"2","Clostridium sensu stricto 1","Abundance","1","3",20,9,167,7.17e-05,0.0006453,"***",125.7351,1,3
"3","Clostridium sensu stricto 1","Abundance","2","3",19,9,16,0.000243,0.002187,"**",142.45296,2,3
"4","Lactobacillus","Abundance","1","2",20,19,90,0.004,0.036,"*",95.27124,1,2
"5","Lactobacillus","Abundance","1","3",20,9,135,0.034,0.306,"ns",111.9891,1,3
"6","Lactobacillus","Abundance","2","3",19,9,152,0.000522,0.004698,"**",128.70696,2,3
"7","Romboutsia","Abundance","1","2",13,18,81,0.157,1,"ns",64.57724,1,2
"8","Romboutsia","Abundance","1","3",13,9,2,1.61e-05,0.0001449,"***",81.2951,1,3
"9","Romboutsia","Abundance","2","3",18,9,1,8.53e-07,7.677e-06,"****",98.01296,2,3
